status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,personal_status_sex,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker,credit_risk
< 580 €,48,no credits taken/all credits paid back duly,radio/television,36398.86902235879,< 580 €,1 <= ... < 4 years,3,male : single,none,4,unknown/no property,53,none,for free,2,skilled employee/official,2,no,yes,0
kein Konto,24,existing credits paid back duly till now,car (used),17833.860816124103,580 € - 2900 €,4 <= ... < 7 years,3,female : divorced/separated/married,none,4,car or other,23,none,own,1,skilled employee/official,1,no,yes,1
580 € - 2900 €,18,existing credits paid back duly till now,domestic appliances,5690.678637713912,< 580 €,1 <= ... < 4 years,4,female : divorced/separated/married,guarantor,4,real estate,26,none,own,1,unskilled - resident,2,no,yes,1
580 € - 2900 €,26,existing credits paid back duly till now,car (used),40729.511256090766,< 580 €,... < 1 year,2,male : single,none,3,car or other,30,none,own,2,skilled employee/official,1,no,yes,1
kein Konto,15,critical account/other credits existing,retraining,7832.991619926068,580 € - 2900 €,1 <= ... < 4 years,4,female : divorced/separated/married,none,3,car or other,31,none,own,1,skilled employee/official,1,no,yes,1
kein Konto,4,critical account/other credits existing,domestic appliances,7684.716974379164,< 580 €,4 <= ... < 7 years,2,male : single,none,1,real estate,42,none,own,2,unskilled - resident,2,no,yes,1
< 580 €,36,existing credits paid back duly till now,domestic appliances,11769.93910513695,< 580 €,1 <= ... < 4 years,4,male : divorced/separated,none,4,car or other,31,none,rent,1,skilled employee/official,1,no,yes,0
< 580 €,6,existing credits paid back duly till now,car (new),3384.7522535189664,< 580 €,... < 1 year,3,male : single,none,4,real estate,41,none,own,1,unskilled - resident,2,yes,yes,1
580 € - 2900 €,36,existing credits paid back duly till now,retraining,11621.664459590047,< 580 €,4 <= ... < 7 years,3,male : single,none,1,car or other,32,none,own,2,skilled employee/official,2,no,yes,1
580 € - 2900 €,15,existing credits paid back duly till now,car (new),13452.089394272509,580 € - 2900 €,1 <= ... < 4 years,2,female : divorced/separated/married,none,4,car or other,28,none,rent,2,skilled employee/official,1,yes,yes,0
kein Konto,12,delay in paying off in the past,car (used),7684.716974379164,< 580 €,1 <= ... < 4 years,4,male : married/widowed,none,4,real estate,41,none,rent,1,skilled employee/official,1,no,yes,1
kein Konto,24,existing credits paid back duly till now,domestic appliances,6703.036562482424,580 € - 2900 €,4 <= ... < 7 years,4,male : married/widowed,none,3,building society savings agreement/life insurance,26,none,own,1,skilled employee/official,1,yes,yes,1
kein Konto,24,existing credits paid back duly till now,domestic appliances,15875.612911142583,unbekannt,... < 1 year,4,male : single,none,2,car or other,25,none,own,2,skilled employee/official,1,no,yes,1
>= 2900 € / Gehalt seit 1 Jahr,21,critical account/other credits existing,retraining,11856.858724940306,< 580 €,... < 1 year,2,male : divorced/separated,none,1,car or other,33,none,rent,1,skilled employee/official,1,no,yes,0
< 580 €,6,existing credits paid back duly till now,car (new),7025.150447636042,unbekannt,unemployed,4,female : divorced/separated/married,none,3,building society savings agreement/life insurance,75,none,own,1,management/self-employed/highly qualified employee/officer,1,yes,yes,1
580 € - 2900 €,18,critical account/other credits existing,radio/television,18467.862748807413,< 580 €,... >= 7 years,3,female : divorced/separated/married,none,4,building society savings agreement/life insurance,37,none,own,1,skilled employee/official,1,yes,yes,1
< 580 €,48,existing credits paid back duly till now,car (new),39691.58873726244,< 580 €,... >= 7 years,4,male : single,none,4,unknown/no property,42,bank,for free,1,management/self-employed/highly qualified employee/officer,1,no,yes,0
>= 2900 € / Gehalt seit 1 Jahr,18,existing credits paid back duly till now,radio/television,15589.289457672703,< 580 €,... < 1 year,1,female : divorced/separated/married,none,1,building society savings agreement/life insurance,45,stores,own,1,unskilled - resident,1,no,yes,1
580 € - 2900 €,12,existing credits paid back duly till now,domestic appliances,7843.217457549991,< 580 €,... < 1 year,1,male : married/widowed,none,1,real estate,23,none,rent,1,skilled employee/official,1,no,yes,0
kein Konto,24,delay in paying off in the past,car (new),10389.451025907161,< 580 €,... >= 7 years,4,male : single,none,4,unknown/no property,60,none,for free,2,skilled employee/official,1,yes,yes,1
< 580 €,30,existing credits paid back duly till now,radio/television,32467.034455959874,unbekannt,... >= 7 years,4,male : single,none,4,building society savings agreement/life insurance,31,none,own,1,skilled employee/official,1,no,yes,0
>= 2900 € / Gehalt seit 1 Jahr,18,existing credits paid back duly till now,radio/television,14643.399477459698,< 580 €,1 <= ... < 4 years,2,male : single,none,1,real estate,34,none,own,1,unskilled - resident,2,no,yes,0
kein Konto,12,critical account/other credits existing,car (new),6416.713109012542,< 580 €,... >= 7 years,4,male : single,none,4,real estate,61,none,own,2,unskilled - resident,1,no,yes,1
< 580 €,24,delay in paying off in the past,car (new),6815.520776345593,< 580 €,unemployed,4,male : single,none,2,real estate,43,none,for free,2,skilled employee/official,2,no,yes,0
kein Konto,24,critical account/other credits existing,car (new),10338.321837787536,< 580 €,1 <= ... < 4 years,4,female : divorced/separated/married,none,4,car or other,37,none,own,1,skilled employee/official,1,yes,yes,1
kein Konto,24,existing credits paid back duly till now,domestic appliances,7935.249996165311,< 580 €,4 <= ... < 7 years,3,male : single,none,1,car or other,32,bank,own,1,skilled employee/official,2,no,yes,1
< 580 €,12,all credits at this bank paid back duly,domestic appliances,3200.6871762883275,< 580 €,1 <= ... < 4 years,4,female : divorced/separated/married,none,4,real estate,24,bank,own,1,unskilled - resident,1,no,yes,0
kein Konto,48,critical account/other credits existing,car (used),45290.234836361036,unbekannt,4 <= ... < 7 years,2,male : single,none,1,unknown/no property,35,none,for free,2,skilled employee/official,1,yes,yes,1
kein Konto,12,critical account/other credits existing,education,5092.467136714336,unbekannt,4 <= ... < 7 years,4,female : divorced/separated/married,none,4,real estate,23,none,own,2,skilled employee/official,1,no,yes,1
kein Konto,6,all credits at this bank paid back duly,domestic appliances,8947.607920933824,2800 € - 5000 €,... >= 7 years,2,male : single,none,4,building society savings agreement/life insurance,45,bank,own,1,unskilled - resident,2,no,yes,1
< 580 €,48,existing credits paid back duly till now,domestic appliances,35785.31876492333,< 580 €,4 <= ... < 7 years,1,male : married/widowed,guarantor,1,real estate,34,none,own,2,skilled employee/official,1,yes,yes,0
580 € - 2900 €,12,critical account/other credits existing,car (new),10200.273029864558,580 € - 2900 €,... < 1 year,4,male : single,none,1,car or other,27,none,own,1,skilled employee/official,1,no,yes,1
580 € - 2900 €,9,existing credits paid back duly till now,retraining,6130.389655542659,< 580 €,4 <= ... < 7 years,4,female : divorced/separated/married,none,4,building society savings agreement/life insurance,67,none,own,2,management/self-employed/highly qualified employee/officer,1,yes,yes,1
580 € - 2900 €,12,existing credits paid back duly till now,domestic appliances,6805.294938721668,< 580 €,... < 1 year,2,male : single,none,1,car or other,22,stores,own,1,skilled employee/official,1,no,yes,0
580 € - 2900 €,18,no credits taken/all credits paid back duly,car (new),11647.229053649859,580 € - 2900 €,... < 1 year,3,female : divorced/separated/married,none,3,car or other,28,none,own,2,skilled employee/official,1,no,yes,0
kein Konto,21,no credits taken/all credits paid back duly,car (new),25579.93281624681,unbekannt,1 <= ... < 4 years,1,female : divorced/separated/married,none,4,building society savings agreement/life insurance,29,bank,own,2,skilled employee/official,1,yes,yes,0
< 580 €,24,all credits at this bank paid back duly,radio/television,18161.087620089682,< 580 €,4 <= ... < 7 years,3,male : single,none,4,car or other,27,bank,own,1,skilled employee/official,1,no,yes,0
580 € - 2900 €,18,critical account/other credits existing,radio/television,9857.707469463092,< 580 €,... < 1 year,2,male : single,none,2,real estate,31,none,own,2,unskilled - resident,1,no,yes,0
< 580 €,24,existing credits paid back duly till now,car (used),15154.691358655917,unbekannt,... >= 7 years,4,male : single,none,4,unknown/no property,49,bank,for free,1,skilled employee/official,2,yes,yes,1
< 580 €,24,all credits at this bank paid back duly,domestic appliances,7904.5724832935375,< 580 €,4 <= ... < 7 years,4,male : single,guarantor,4,car or other,24,bank,rent,1,unskilled - resident,1,no,yes,0
>= 2900 € / Gehalt seit 1 Jahr,6,delay in paying off in the past,domestic appliances,3492.1235485701727,< 580 €,... < 1 year,2,female : divorced/separated/married,none,1,building society savings agreement/life insurance,29,bank,own,1,skilled employee/official,1,no,yes,1
580 € - 2900 €,36,existing credits paid back duly till now,car (new),63343.95116139951,unbekannt,1 <= ... < 4 years,1,male : single,none,4,unknown/no property,37,none,for free,1,skilled employee/official,1,yes,yes,0
580 € - 2900 €,24,delay in paying off in the past,others,24092.07344196582,unbekannt,1 <= ... < 4 years,4,male : single,none,2,building society savings agreement/life insurance,37,bank,own,2,management/self-employed/highly qualified employee/officer,1,yes,yes,1
580 € - 2900 €,24,delay in paying off in the past,domestic appliances,7940.362914977273,580 € - 2900 €,4 <= ... < 7 years,3,female : divorced/separated/married,none,2,building society savings agreement/life insurance,23,none,rent,2,skilled employee/official,1,yes,yes,1
< 580 €,12,existing credits paid back duly till now,car (new),7014.924610012117,< 580 €,4 <= ... < 7 years,2,male : divorced/separated,none,3,car or other,36,none,own,1,skilled employee/official,1,no,yes,0
kein Konto,24,critical account/other credits existing,domestic appliances,13181.104697238514,>= 5000 €,... >= 7 years,2,male : single,none,2,car or other,34,none,own,1,skilled employee/official,1,no,yes,1
580 € - 2900 €,48,existing credits paid back duly till now,domestic appliances,20344.303952797534,unbekannt,4 <= ... < 7 years,4,male : single,none,1,car or other,41,none,own,2,skilled employee/official,2,yes,yes,1
< 580 €,48,existing credits paid back duly till now,domestic appliances,34553.10533124045,< 580 €,1 <= ... < 4 years,3,female : divorced/separated/married,none,2,car or other,31,none,own,1,skilled employee/official,1,yes,yes,0
< 580 €,24,existing credits paid back duly till now,radio/television,16535.179437885705,< 580 €,... < 1 year,4,female : divorced/separated/married,none,4,real estate,23,none,rent,1,unskilled - resident,1,yes,yes,0
kein Konto,30,critical account/other credits existing,domestic appliances,30442.31860642285,< 580 €,4 <= ... < 7 years,3,male : single,co-applicant,2,car or other,38,none,own,1,skilled employee/official,1,no,yes,1
kein Konto,24,existing credits paid back duly till now,car (used),27778.487905390553,unbekannt,unemployed,2,female : divorced/separated/married,none,4,building society savings agreement/life insurance,26,none,rent,1,management/self-employed/highly qualified employee/officer,1,yes,yes,1
< 580 €,15,existing credits paid back duly till now,others,4121.012562441521,< 580 €,1 <= ... < 4 years,4,female : divorced/separated/married,none,4,building society savings agreement/life insurance,22,none,own,1,unskilled - resident,1,no,yes,1
580 € - 2900 €,9,existing credits paid back duly till now,domestic appliances,5532.178154543084,< 580 €,... >= 7 years,4,male : single,none,4,car or other,27,none,own,2,unskilled - resident,1,no,yes,1
kein Konto,15,critical account/other credits existing,radio/television,14254.817647750571,< 580 €,4 <= ... < 7 years,2,female : divorced/separated/married,co-applicant,3,car or other,24,bank,own,2,skilled employee/official,1,no,yes,1
580 € - 2900 €,12,existing credits paid back duly till now,domestic appliances,14980.852119049203,< 580 €,4 <= ... < 7 years,2,female : divorced/separated/married,none,1,real estate,27,none,own,1,skilled employee/official,1,no,yes,1
kein Konto,24,critical account/other credits existing,retraining,9852.59455065113,unbekannt,1 <= ... < 4 years,3,female : divorced/separated/married,none,2,car or other,33,none,own,2,skilled employee/official,1,yes,yes,1
580 € - 2900 €,36,critical account/other credits existing,car (new),14418.431049733363,< 580 €,... < 1 year,4,male : divorced/separated,none,4,car or other,27,none,own,2,skilled employee/official,1,no,yes,0
kein Konto,24,existing credits paid back duly till now,business,4790.804926808567,< 580 €,... < 1 year,4,male : married/widowed,none,3,car or other,27,none,own,2,unskilled - resident,1,no,yes,1
580 € - 2900 €,18,critical account/other credits existing,car (new),5399.242265432067,< 580 €,... >= 7 years,3,male : single,guarantor,3,real estate,30,bank,own,2,skilled employee/official,1,no,yes,0
580 € - 2900 €,12,critical account/other credits existing,car (new),15972.758368569866,< 580 €,... < 1 year,1,male : single,none,3,real estate,49,bank,own,2,unskilled - resident,2,no,yes,1
kein Konto,9,existing credits paid back duly till now,radio/television,7096.731311003513,< 580 €,1 <= ... < 4 years,4,female : divorced/separated/married,none,2,real estate,26,none,rent,1,skilled employee/official,1,no,yes,1
580 € - 2900 €,36,existing credits paid back duly till now,education,12189.198447717848,< 580 €,... < 1 year,4,male : single,none,1,unknown/no property,33,none,rent,1,unskilled - resident,1,no,yes,0
kein Konto,12,existing credits paid back duly till now,car (new),10905.855825915341,unbekannt,... >= 7 years,4,female : divorced/separated/married,none,4,unknown/no property,52,none,for free,1,management/self-employed/highly qualified employee/officer,1,yes,yes,1
< 580 €,18,existing credits paid back duly till now,radio/television,10425.241457590895,< 580 €,1 <= ... < 4 years,1,female : divorced/separated/married,none,4,real estate,20,bank,rent,1,skilled employee/official,1,no,yes,0
< 580 €,9,critical account/other credits existing,car (new),14311.059754682155,< 580 €,1 <= ... < 4 years,2,male : single,none,2,real estate,36,none,rent,2,skilled employee/official,2,no,yes,1
< 580 €,12,existing credits paid back duly till now,radio/television,6590.552348619257,< 580 €,1 <= ... < 4 years,4,male : single,guarantor,1,building society savings agreement/life insurance,21,none,own,1,unskilled - resident,1,no,yes,1
< 580 €,18,existing credits paid back duly till now,repairs,6222.422194157979,< 580 €,1 <= ... < 4 years,4,male : married/widowed,none,3,real estate,47,none,own,1,unskilled - resident,1,yes,yes,0
< 580 €,12,critical account/other credits existing,radio/television,11483.615651667067,< 580 €,... >= 7 years,3,male : single,none,3,building society savings agreement/life insurance,60,none,own,2,skilled employee/official,1,no,yes,0
< 580 €,12,critical account/other credits existing,domestic appliances,1968.4737426054412,< 580 €,4 <= ... < 7 years,4,female : divorced/separated/married,none,3,real estate,58,none,own,4,unskilled - resident,1,yes,yes,1
580 € - 2900 €,24,delay in paying off in the past,car (new),10046.885465505693,unbekannt,1 <= ... < 4 years,4,female : divorced/separated/married,none,4,car or other,42,none,rent,2,skilled employee/official,1,yes,yes,1
kein Konto,21,existing credits paid back duly till now,others,8037.508372404554,>= 5000 €,... >= 7 years,4,female : divorced/separated/married,none,4,real estate,36,bank,own,1,unskilled - resident,1,no,yes,1
580 € - 2900 €,24,existing credits paid back duly till now,car (new),13896.91333091322,< 580 €,1 <= ... < 4 years,3,female : divorced/separated/married,none,4,building society savings agreement/life insurance,20,none,rent,1,unskilled - resident,1,yes,yes,0
< 580 €,24,all credits at this bank paid back duly,furniture/equipment,6943.343746644647,unbekannt,... >= 7 years,4,male : single,none,3,car or other,40,stores,own,1,management/self-employed/highly qualified employee/officer,1,yes,yes,0
580 € - 2900 €,6,all credits at this bank paid back duly,car (new),4760.127413936794,580 € - 2900 €,... < 1 year,1,female : divorced/separated/married,none,1,building society savings agreement/life insurance,32,stores,own,1,unskilled - resident,1,no,yes,0
< 580 €,24,existing credits paid back duly till now,car (new),7372.828926849471,< 580 €,4 <= ... < 7 years,4,female : divorced/separated/married,none,4,car or other,23,none,rent,2,skilled employee/official,1,no,yes,0
580 € - 2900 €,24,no credits taken/all credits paid back duly,others,21683.888681531625,< 580 €,1 <= ... < 4 years,1,male : single,none,4,real estate,36,none,own,3,unskilled - resident,1,yes,yes,0
kein Konto,18,critical account/other credits existing,car (new),14188.349703195063,< 580 €,4 <= ... < 7 years,2,male : single,none,2,building society savings agreement/life insurance,31,bank,own,2,skilled employee/official,1,no,yes,0
kein Konto,24,delay in paying off in the past,others,19751.20537060992,< 580 €,1 <= ... < 4 years,1,male : single,none,2,unknown/no property,32,none,for free,1,skilled employee/official,1,no,yes,1
580 € - 2900 €,7,existing credits paid back duly till now,domestic appliances,11907.98791305993,< 580 €,... < 1 year,1,female : divorced/separated/married,guarantor,1,real estate,45,none,own,1,skilled employee/official,1,no,yes,1
580 € - 2900 €,9,existing credits paid back duly till now,radio/television,4693.659469381286,< 580 €,1 <= ... < 4 years,4,female : divorced/separated/married,none,1,building society savings agreement/life insurance,30,none,own,1,skilled employee/official,1,no,yes,0
580 € - 2900 €,24,all credits at this bank paid back duly,retraining,9392.431857574535,< 580 €,4 <= ... < 7 years,4,female : divorced/separated/married,none,4,unknown/no property,34,bank,for free,1,unskilled - resident,1,no,yes,0
kein Konto,36,existing credits paid back duly till now,radio/television,17123.16510126136,< 580 €,1 <= ... < 4 years,4,female : divorced/separated/married,none,2,car or other,28,none,own,1,management/self-employed/highly qualified employee/officer,1,yes,yes,0
>= 2900 € / Gehalt seit 1 Jahr,10,existing credits paid back duly till now,radio/television,6518.971485251786,< 580 €,... < 1 year,4,female : divorced/separated/married,none,2,building society savings agreement/life insurance,23,none,own,1,skilled employee/official,1,no,yes,1
< 580 €,24,all credits at this bank paid back duly,radio/television,14459.334400229058,2800 € - 5000 €,1 <= ... < 4 years,4,male : single,none,4,real estate,22,stores,own,1,skilled employee/official,1,yes,yes,1
kein Konto,24,critical account/other credits existing,others,23141.070542940848,< 580 €,1 <= ... < 4 years,3,male : single,none,2,real estate,74,none,own,1,management/self-employed/highly qualified employee/officer,1,yes,yes,1
580 € - 2900 €,36,existing credits paid back duly till now,domestic appliances,13656.606146750997,580 € - 2900 €,1 <= ... < 4 years,4,female : divorced/separated/married,co-applicant,4,unknown/no property,50,none,for free,1,skilled employee/official,1,no,yes,0
kein Konto,18,existing credits paid back duly till now,domestic appliances,10486.596483334442,< 580 €,... < 1 year,4,male : single,none,1,real estate,33,none,own,1,skilled employee/official,1,no,yes,1
kein Konto,15,existing credits paid back duly till now,car (used),6646.79445555084,unbekannt,... >= 7 years,4,male : single,none,4,unknown/no property,45,bank,for free,1,skilled employee/official,2,no,yes,1
< 580 €,12,existing credits paid back duly till now,repairs,3788.672839663979,580 € - 2900 €,unemployed,4,female : divorced/separated/married,none,3,building society savings agreement/life insurance,22,none,own,1,skilled employee/official,1,no,yes,0
>= 2900 € / Gehalt seit 1 Jahr,10,existing credits paid back duly till now,car (new),6340.019326833109,580 € - 2900 €,... >= 7 years,1,female : divorced/separated/married,none,4,unknown/no property,48,none,for free,1,unskilled - resident,2,no,yes,0
< 580 €,21,existing credits paid back duly till now,domestic appliances,17164.068451757055,>= 5000 €,... < 1 year,4,female : divorced/separated/married,none,2,car or other,29,bank,own,1,skilled employee/official,1,no,yes,1
< 580 €,24,all credits at this bank paid back duly,car (used),18570.121125046655,< 580 €,1 <= ... < 4 years,1,female : divorced/separated/married,guarantor,4,car or other,22,bank,rent,1,skilled employee/official,1,no,no,1
kein Konto,18,delay in paying off in the past,radio/television,9244.15721202763,< 580 €,4 <= ... < 7 years,4,female : divorced/separated/married,none,1,real estate,22,none,own,1,skilled employee/official,1,no,yes,0
580 € - 2900 €,48,no credits taken/all credits paid back duly,others,62398.0611811865,unbekannt,1 <= ... < 4 years,2,male : single,none,2,car or other,48,bank,own,1,management/self-employed/highly qualified employee/officer,1,yes,yes,1
580 € - 2900 €,60,delay in paying off in the past,domestic appliances,46818.99756113773,unbekannt,1 <= ... < 4 years,2,male : single,none,2,unknown/no property,27,none,for free,1,management/self-employed/highly qualified employee/officer,1,no,yes,1
< 580 €,6,critical account/other credits existing,car (new),18795.08955277299,< 580 €,1 <= ... < 4 years,1,male : single,none,3,real estate,37,none,rent,3,skilled employee/official,2,no,yes,1
580 € - 2900 €,30,existing credits paid back duly till now,radio/television,17593.55363196188,580 € - 2900 €,1 <= ... < 4 years,2,female : divorced/separated/married,co-applicant,4,car or other,21,none,rent,1,skilled employee/official,1,no,yes,0
kein Konto,12,existing credits paid back duly till now,car (new),3272.2680396557985,< 580 €,1 <= ... < 4 years,4,male : divorced/separated,none,2,real estate,49,none,own,1,unskilled - resident,1,no,yes,1
580 € - 2900 €,21,critical account/other credits existing,others,18672.3795012859,< 580 €,4 <= ... < 7 years,2,male : single,none,3,building society savings agreement/life insurance,27,none,own,2,skilled employee/official,1,no,yes,1
kein Konto,18,critical account/other credits existing,car (new),7822.765782302144,< 580 €,1 <= ... < 4 years,3,male : single,none,2,building society savings agreement/life insurance,32,bank,own,2,skilled employee/official,1,no,yes,0
kein Konto,48,existing credits paid back duly till now,others,20011.964230019992,unbekannt,1 <= ... < 4 years,4,male : divorced/separated,none,2,real estate,38,bank,own,1,skilled employee/official,1,no,yes,0
< 580 €,12,existing credits paid back duly till now,radio/television,9499.80315262574,< 580 €,... < 1 year,4,female : divorced/separated/married,none,1,car or other,22,none,rent,1,skilled employee/official,1,no,yes,1
< 580 €,18,existing credits paid back duly till now,domestic appliances,13293.58891110168,< 580 €,1 <= ... < 4 years,4,male : single,none,4,unknown/no property,65,none,for free,2,skilled employee/official,1,no,yes,0
kein Konto,15,existing credits paid back duly till now,domestic appliances,10118.466328873164,unbekannt,... >= 7 years,4,male : single,none,2,car or other,35,none,own,1,skilled employee/official,1,no,yes,1
>= 2900 € / Gehalt seit 1 Jahr,6,existing credits paid back duly till now,radio/television,10818.936206111983,< 580 €,1 <= ... < 4 years,2,male : single,none,2,real estate,41,none,own,1,skilled employee/official,1,yes,yes,1
580 € - 2900 €,9,all credits at this bank paid back duly,car (new),7347.264332789659,580 € - 2900 €,4 <= ... < 7 years,2,male : single,none,3,unknown/no property,29,none,own,1,skilled employee/official,1,no,yes,0
kein Konto,42,critical account/other credits existing,radio/television,20666.417837951154,2800 € - 5000 €,1 <= ... < 4 years,4,male : single,none,4,real estate,36,none,own,2,skilled employee/official,1,yes,yes,1
kein Konto,9,existing credits paid back duly till now,retraining,19592.704887439093,unbekannt,... >= 7 years,1,male : single,none,4,real estate,64,none,own,1,unskilled - resident,1,no,yes,1
< 580 €,24,existing credits paid back duly till now,domestic appliances,18713.282851781594,< 580 €,1 <= ... < 4 years,2,female : divorced/separated/married,none,4,car or other,28,none,own,1,skilled employee/official,1,no,yes,1
< 580 €,18,all credits at this bank paid back duly,radio/television,7940.362914977273,< 580 €,1 <= ... < 4 years,4,male : single,none,3,car or other,44,bank,own,1,skilled employee/official,1,no,yes,0
580 € - 2900 €,15,existing credits paid back duly till now,domestic appliances,7383.054764473395,unbekannt,... < 1 year,4,male : single,none,1,building society savings agreement/life insurance,23,none,own,1,skilled employee/official,1,no,yes,1
kein Konto,9,existing credits paid back duly till now,radio/television,10123.579247685126,< 580 €,... < 1 year,2,female : divorced/separated/married,co-applicant,2,car or other,19,none,rent,2,skilled employee/official,1,no,yes,0
580 € - 2900 €,24,existing credits paid back duly till now,car (new),6928.00499020876,< 580 €,... < 1 year,3,female : divorced/separated/married,none,4,car or other,25,none,own,1,unskilled - resident,1,yes,yes,0
kein Konto,12,existing credits paid back duly till now,retraining,7122.2959050633235,< 580 €,... >= 7 years,4,male : single,none,4,building society savings agreement/life insurance,47,bank,own,3,skilled employee/official,2,yes,yes,1
kein Konto,24,existing credits paid back duly till now,domestic appliances,7035.376285259967,2800 € - 5000 €,4 <= ... < 7 years,4,female : divorced/separated/married,none,1,car or other,28,none,own,1,skilled employee/official,1,no,yes,1
kein Konto,60,delay in paying off in the past,domestic appliances,80032.51816364408,< 580 €,4 <= ... < 7 years,2,male : single,none,4,car or other,21,none,own,2,skilled employee/official,1,yes,yes,1
kein Konto,12,existing credits paid back duly till now,domestic appliances,7633.587786259542,< 580 €,... < 1 year,4,female : divorced/separated/married,none,3,car or other,34,none,own,1,skilled employee/official,2,no,yes,1
< 580 €,42,delay in paying off in the past,domestic appliances,22343.45520827475,< 580 €,4 <= ... < 7 years,3,male : single,none,2,building society savings agreement/life insurance,26,bank,own,2,skilled employee/official,2,yes,yes,0
< 580 €,18,existing credits paid back duly till now,retraining,3834.6891089716387,< 580 €,unemployed,4,female : divorced/separated/married,none,1,real estate,27,none,own,1,unemployed/unskilled - non-resident,1,no,yes,0
580 € - 2900 €,15,existing credits paid back duly till now,education,6687.697806046537,< 580 €,... >= 7 years,4,male : single,none,4,car or other,38,none,own,2,unskilled - resident,1,no,yes,1
kein Konto,15,existing credits paid back duly till now,retraining,23637.02366770118,580 € - 2900 €,1 <= ... < 4 years,3,male : single,none,2,building society savings agreement/life insurance,40,none,own,1,management/self-employed/highly qualified employee/officer,1,yes,yes,0
kein Konto,24,critical account/other credits existing,domestic appliances,9464.012720942004,< 580 €,4 <= ... < 7 years,4,male : married/widowed,guarantor,2,car or other,33,none,own,2,skilled employee/official,1,yes,yes,1
< 580 €,18,critical account/other credits existing,domestic appliances,9612.287366488907,< 580 €,4 <= ... < 7 years,4,male : married/widowed,none,1,building society savings agreement/life insurance,32,none,own,2,management/self-employed/highly qualified employee/officer,1,yes,yes,1
kein Konto,36,delay in paying off in the past,others,40801.09211945823,unbekannt,... < 1 year,4,male : single,none,4,car or other,27,none,rent,2,skilled employee/official,1,yes,yes,0
< 580 €,30,no credits taken/all credits paid back duly,radio/television,23432.506915222693,< 580 €,1 <= ... < 4 years,2,male : divorced/separated,guarantor,2,real estate,32,none,own,2,skilled employee/official,1,no,yes,1
kein Konto,12,existing credits paid back duly till now,car (new),7086.505473379589,2800 € - 5000 €,1 <= ... < 4 years,2,female : divorced/separated/married,none,2,building society savings agreement/life insurance,26,none,own,1,skilled employee/official,1,no,yes,0
>= 2900 € / Gehalt seit 1 Jahr,24,existing credits paid back duly till now,car (new),4841.934114928189,< 580 €,4 <= ... < 7 years,4,male : single,none,3,unknown/no property,38,bank,for free,1,skilled employee/official,2,no,yes,0
< 580 €,12,existing credits paid back duly till now,retraining,3497.236467382135,< 580 €,1 <= ... < 4 years,4,male : single,none,4,car or other,40,none,rent,1,unskilled - resident,2,no,yes,0
< 580 €,48,existing credits paid back duly till now,retraining,38224.1810382293,< 580 €,4 <= ... < 7 years,4,male : single,none,1,unknown/no property,50,none,for free,1,management/self-employed/highly qualified employee/officer,1,yes,yes,1
580 € - 2900 €,12,existing credits paid back duly till now,radio/television,9827.02995659132,< 580 €,1 <= ... < 4 years,4,male : single,none,2,building society savings agreement/life insurance,37,none,own,1,unskilled - resident,1,no,yes,0
< 580 €,24,existing credits paid back duly till now,car (new),11775.052023948912,< 580 €,... >= 7 years,4,male : single,co-applicant,1,real estate,45,none,own,1,skilled employee/official,1,no,yes,0
580 € - 2900 €,36,delay in paying off in the past,car (new),41343.06151352623,580 € - 2900 €,... >= 7 years,2,male : single,none,4,car or other,42,none,own,4,management/self-employed/highly qualified employee/officer,1,yes,yes,0
kein Konto,24,critical account/other credits existing,car (used),11994.907532863286,< 580 €,4 <= ... < 7 years,4,male : single,none,3,car or other,35,none,own,2,skilled employee/official,1,yes,yes,1
< 580 €,14,existing credits paid back duly till now,car (new),20313.62643992576,< 580 €,unemployed,1,male : single,none,4,unknown/no property,22,none,for free,1,skilled employee/official,1,no,yes,1
580 € - 2900 €,12,existing credits paid back duly till now,car (new),4540.2719050224205,< 580 €,... >= 7 years,4,male : single,none,4,car or other,41,bank,own,1,unskilled - resident,2,no,yes,0
kein Konto,48,existing credits paid back duly till now,domestic appliances,52264.256095877456,unbekannt,4 <= ... < 7 years,4,male : single,none,3,car or other,37,stores,own,1,skilled employee/official,1,yes,yes,1
580 € - 2900 €,30,no credits taken/all credits paid back duly,others,21581.630305292383,< 580 €,1 <= ... < 4 years,2,female : divorced/separated/married,none,1,car or other,28,none,own,2,skilled employee/official,1,no,yes,1
580 € - 2900 €,18,critical account/other credits existing,radio/television,32523.27656289146,< 580 €,... >= 7 years,2,male : single,none,1,unknown/no property,41,none,own,1,skilled employee/official,1,yes,yes,1
>= 2900 € / Gehalt seit 1 Jahr,12,existing credits paid back duly till now,domestic appliances,6631.455699114954,< 580 €,1 <= ... < 4 years,3,male : married/widowed,none,4,real estate,23,none,rent,1,skilled employee/official,1,no,yes,1
< 580 €,12,existing credits paid back duly till now,car (new),4601.626930765967,unbekannt,1 <= ... < 4 years,4,male : married/widowed,none,2,car or other,23,none,own,1,skilled employee/official,1,no,yes,0
kein Konto,21,existing credits paid back duly till now,radio/television,11458.051057607256,< 580 €,... >= 7 years,4,male : single,none,2,real estate,50,none,own,2,skilled employee/official,1,no,yes,1
